T,Cl
0,0
0.125,-0.000234745
0.25,-0.000884165
0.375,-0.00185819
0.5,-0.0031024
0.625,-0.00458226
0.75,-0.00626951
0.875,-0.00813433
1,-0.0101397
1.125,-0.0122368
1.25,-0.0143617
1.375,-0.0164342
1.5,-0.0183601
1.625,-0.0200373
1.75,-0.0213652
1.875,-0.0222538
2,-0.0226332
2.125,-0.0226296
2.25,-0.0225297
2.375,-0.0224931
2.5,-0.0225242
2.625,-0.0226091
2.75,-0.0227306
2.875,-0.0228738
3,-0.0230275
3.125,-0.0231837
3.25,-0.0233368
3.375,-0.0234835
3.5,-0.0236217
3.625,-0.0237505
3.75,-0.0238694
3.875,-0.0239785
4,-0.024078
4.125,-0.0241685
4.25,-0.0242505
4.375,-0.0243246
4.5,-0.0243914
4.625,-0.0244515
4.75,-0.0245056
4.875,-0.024554
5,-0.0245975
5.125,-0.0246365
5.25,-0.0246713
5.375,-0.0247025
5.5,-0.0247304
5.625,-0.0247552
5.75,-0.0247774
5.875,-0.0247972
6,-0.0248148
