T,Cd
0,0
0.125,0.0942446
0.25,0.334535
0.375,0.669368
0.5,1.08132
0.625,1.55305
0.75,2.06592
0.875,2.60007
1,3.13494
1.125,3.64999
1.25,4.12544
1.375,4.54296
1.5,4.88644
1.625,5.14258
1.75,5.30141
1.875,5.3567
2,5.30619
2.125,5.24596
2.25,5.23438
2.375,5.22998
2.5,5.22805
2.625,5.22711
2.75,5.22661
2.875,5.22631
3,5.22613
3.125,5.226
3.25,5.2259
3.375,5.22583
3.5,5.22578
3.625,5.22573
3.75,5.2257
3.875,5.22567
4,5.22564
4.125,5.22562
4.25,5.22561
4.375,5.2256
4.5,5.22558
4.625,5.22558
4.75,5.22557
4.875,5.22556
5,5.22556
5.125,5.22555
5.25,5.22555
5.375,5.22554
5.5,5.22554
5.625,5.22554
5.75,5.22554
5.875,5.22554
6,5.22554
